[2024-05-16 06:42:25 Info] Script args: Namespace(n_tasks=3, n_classes=10, dataset='ds_cont_permuted_mnist', nn_arch='custom_cnn', logname='custom_mnist_3_tasks', results_dir='res', seed=2019, num_workers=1, num_epochs=150, batch_size=128, pruning_percents=[], train_mc_iters=10, std_init=0.06, mean_eta=1, permanent_prune_on_epoch=-1, permanent_prune_on_epoch_percent=90, test_freq=10, contpermuted_beta=4, optimizer='bgd', optimizer_params='{}', inference_mc=True, inference_map=True, inference_committee=True, inference_aggsoftmax=True, inference_initstd=True, committee_size=10, test_mc_iters=10, init_params=['{"bias_type":', '"xavier",', '"conv_type":', '"xavier",', '"bn_init":', '"01"}'], desc=['BGD', 'on', 'continuous', 'permuted', 'mnist_3_tasks'], bw_to_rgb=False, permuted_offset=False, labels_trick=False, num_of_permutations=2, iterations_per_virtual_epc=469, separate_labels_space=False, permute_seed=2019)
[2024-05-16 06:42:25 Info] Computer name: iiitd with pytorch version: 2.2.2
Dataset is  ds_cont_permuted_mnist
[tensor([    0,     1,     2,  ..., 59997, 59998, 59999], dtype=torch.int32)]
1
<torch.utils.data.dataloader.DataLoader object at 0x7fa29cf6f5c0>
IN main program 3
[2024-05-16 06:42:26 Info] Transformed model to CUDA
[2024-05-16 06:42:26 Info] Initialized 2 Conv2d layers using nn.init.xavier_normal_
[2024-05-16 06:42:26 Info] Initialized 4 linear layers using xavier
[2024-05-16 06:42:26 Info] Initialized 2 bias conv2d layers using nn.init.xavier.noraml_
[2024-05-16 06:42:26 Info] Initialized 4 bias linear layers using xavier
[2024-05-16 06:42:26 Info] Initialized 0 BN layers using weight=1 and bias=0
[2024-05-16 06:42:26 Info] BGD params: {'mean_eta': 1, 'std_init': 0.06, 'mc_iters': 10}
[2024-05-16 06:42:26 Info] Inference method: {'agg_softmax', 'test_mc', 'map', 'committee', 'init_std'}
[2024-05-16 06:42:26 Info] Number of parameters in the model is 592,286
[2024-05-16 06:42:26 Info] Criterion parameters: type=<class 'torch.nn.modules.loss.CrossEntropyLoss'>
[2024-05-16 06:42:26 Info] Running training from epoch 1 to epoch 150
[2024-05-16 06:42:26 Info] Training epoch number 1 with dataset number 0
Loss value is  tensor(3.6644, device='cuda:0', grad_fn=<NllLossBackward0>) k is  0 Batch number is 0
Loss value is  tensor(2.8944, device='cuda:0', grad_fn=<NllLossBackward0>) k is  1 Batch number is 0
Loss value is  tensor(2.5580, device='cuda:0', grad_fn=<NllLossBackward0>) k is  2 Batch number is 0
Loss value is  tensor(2.9286, device='cuda:0', grad_fn=<NllLossBackward0>) k is  3 Batch number is 0
Loss value is  tensor(2.8820, device='cuda:0', grad_fn=<NllLossBackward0>) k is  4 Batch number is 0
Loss value is  tensor(2.7571, device='cuda:0', grad_fn=<NllLossBackward0>) k is  5 Batch number is 0
Loss value is  tensor(2.9243, device='cuda:0', grad_fn=<NllLossBackward0>) k is  6 Batch number is 0
Loss value is  tensor(3.1065, device='cuda:0', grad_fn=<NllLossBackward0>) k is  7 Batch number is 0
Loss value is  tensor(2.9427, device='cuda:0', grad_fn=<NllLossBackward0>) k is  8 Batch number is 0
Loss value is  tensor(2.7403, device='cuda:0', grad_fn=<NllLossBackward0>) k is  9 Batch number is 0
Loss value is  tensor(3.2309, device='cuda:0', grad_fn=<NllLossBackward0>) k is  0 Batch number is 1
Loss value is  tensor(2.7208, device='cuda:0', grad_fn=<NllLossBackward0>) k is  1 Batch number is 1
Loss value is  tensor(3.2267, device='cuda:0', grad_fn=<NllLossBackward0>) k is  2 Batch number is 1
Loss value is  tensor(2.9050, device='cuda:0', grad_fn=<NllLossBackward0>) k is  3 Batch number is 1
Loss value is  tensor(3.0281, device='cuda:0', grad_fn=<NllLossBackward0>) k is  4 Batch number is 1
Loss value is  tensor(2.8294, device='cuda:0', grad_fn=<NllLossBackward0>) k is  5 Batch number is 1
Loss value is  tensor(2.9704, device='cuda:0', grad_fn=<NllLossBackward0>) k is  6 Batch number is 1
Loss value is  tensor(2.8125, device='cuda:0', grad_fn=<NllLossBackward0>) k is  7 Batch number is 1
Loss value is  tensor(2.6441, device='cuda:0', grad_fn=<NllLossBackward0>) k is  8 Batch number is 1
